the_geom,address,allzoning1,allzoning2,appbbl,appdate,areasource,assessland,assesstot,bbl,bldgarea,bldgclass,bldgdepth,bldgfront,block,borocode,bsmtcode,builtcode,builtfar,cb2010,cd,comarea,commfar,condono,council,ct2010,easements,edesignum,exemptland,exempttot,ext,facilfar,factryarea,firecomp,garagearea,healtharea,histdist,irrlotcode,landmark,landuse,lot,lotarea,lotdepth,lotfront,lottype,ltdheight,numbldgs,numfloors,officearea,otherarea,overlay1,overlay2,ownername,ownertype,plutomapid,policeprct,proxcode,resarea,residfar,retailarea,sanborn,schooldist,spdist1,spdist2,splitzone,strgearea,taxmap,tract2010,unitsres,unitstotal,version,xcoord,ycoord,yearalter1,yearalter2,yearbuilt,zipcode,zmcode,zonedist1,zonedist2,zonedist3,zonedist4,zonemap
0106000020E61000000100000001030000000100000006000000D5289BC41D7C52C08662A69D125C444092A2DE6A237C52C093C4A7B80F5C444008DB74E3237C52C07DE6B6C3115C444041B03469247C52C02167DC07145C44407491F0C21E7C52C0DA95DCEC165C4440D5289BC41D7C52C08662A69D125C4440,85A DEBEVOISE AVENUE,M1-1,,0,,7,67050,212850,3028580021,5900,E9,50,49.5,2858,3,0,,1.19,3014,301,5900,1,0,34,449,0,,0,0,,2.4,5900,L146,0,900,,N,,06,21,4950,100,49.5,5,,1,2,0,0,,,300 RICHARDSON ST REA,P,1,94,3,0,0,0,309 064,14,,,N,0,31001,0449,0,3,15v1,1001015,201357,0,0,1920,11222,,M1-1,,,,13a
0106000020E6100000010000000103000000010000000600000046333F98227C52C093DCD289285C4440A54BDA32217C52C002937A4A225C44403AFCEFB9227C52C062D1C87E215C44408025DE49247C52C026F9787C285C44401E4805D1227C52C0ACABBD40295C444046333F98227C52C093DCD289285C4440,295 RICHARDSON STREET,M1-1,,0,,7,4180,11643,3028490019,1500,B9,29,18,2849,3,2,E,0.82,3014,301,0,1,0,34,449,0,,0,0,,2.4,0,L146,0,900,,N,,01,19,1819,72.75,25,3,,1,2.5,0,0,,,"PELLEGRINO, JOSEPH",,1,94,1,1500,0,0,309 064,14,,,N,0,31001,0449,2,2,15v1,1000987,201557,0,0,1920,11222,,M1-1,,,,13a
0106000020E6100000010000000103000000010000000500000035872A6C1F7C52C06AA0169B545C4440EEE5AA42227C52C0D23E0D24535C444093FEB929247C52C02A48C4CF5B5C444016F83853217C52C0B836CF465D5C444035872A6C1F7C52C06AA0169B545C4440,33 BEADEL STREET,M1-1,,0,,7,67500,117945,3028340147,1875,E9,75,25,2834,3,0,,0.38,3002,301,1875,1,0,34,449,0,,0,0,,2.4,1875,L146,0,900,,N,,06,147,5000,100,50,5,,1,1,0,0,,,LOMBARDY CORP,,1,94,3,0,0,0,309 064,14,,,N,0,31001,0449,0,1,15v1,1001002,202123,0,0,1920,11222,,M1-1,,,,13a
0106000020E6100000010000000103000000010000000500000053D9BD21227C52C044C0E90BC85A4440BEBD954A237C52C0E73C46D4C75A4440A81EC606247C52C0DA26F4BBD05A4440E4E208DE227C52C0BAF0DBF4D05A444053D9BD21227C52C044C0E90BC85A4440,227A SCHOLES STREET,C1-3/R6,,3030370001,02/28/1997,7,8998,33085,3030370168,1910,B2,50,19.1,3037,3,2,,0.96,1013,301,0,0,0,34,485,0,,1610,6427,,4.8,0,L108,0,900,,N,,01,168,1983,100,19.1,5,,1,2,0,0,C1-3,,"ORIOL, IRMA",,1,90,3,1910,2.43,0,309 025,14,,,N,0,31004,0485,2,2,15v1,1000984,197722,0,0,1996,11206,,R6,,,,13b
0106000020E610000001000000010300000001000000050000003875054E207C52C0E2AA20C38F5A44405452F19C237C52C0BB496D258F5A4440434FEFCC237C52C0EBE69F73915A4440D9FF037E207C52C0E8E44911925A44403875054E207C52C0E2AA20C38F5A4440,243 BUSHWICK AVENUE,C1-3/R6,,0,,7,6789,17932,3030640004,3000,S2,40,25,3064,3,5,,2.18,3003,301,600,0,0,34,493,0,,0,0,,4.8,0,E237,0,800,,N,,04,4,1375,55,25,3,,1,3,0,0,C1-3,,243 BUSHWICK LLC,,1,90,0,2400,2.43,600,309 029,14,,,N,0,31004,0493,2,3,15v1,1001001,197057,0,0,1920,11206,,R6,,,,13b
0106000020E61000000100000001030000000100000005000000BE9AEF1B207C52C0BD54485B8D5A4440EB3BDB6A237C52C06CA392BD8C5A44405452F19C237C52C0BB496D258F5A44403875054E207C52C0E2AA20C38F5A4440BE9AEF1B207C52C0BD54485B8D5A4440,247 BUSHWICK AVENUE,C1-3/R6,,0,,7,35550,35550,3030640003,0,Z9,0,0,3064,3,5,,0,3003,301,0,0,0,34,493,0,,0,0,,4.8,0,E237,0,800,,N,,,3,1375,55,25,5,,1,0,0,0,C1-3,,"BUTTARO, SALVATORE J",P,1,90,0,0,2.43,0,309 029,14,,,N,0,31004,0493,0,0,15v1,1001005,197031,0,0,0,11206,,R6,,,,13b
0106000020E61000000100000001030000000100000006000000AF75D8FC1F7C52C0EB49F8DC8B5A4440224804F21F7C52C026E3CA578B5A4440ECB6EF40237C52C0613B15BA8A5A4440EB3BDB6A237C52C06CA392BD8C5A4440BE9AEF1B207C52C0BD54485B8D5A4440AF75D8FC1F7C52C0EB49F8DC8B5A4440,249 BUSHWICK AVENUE,C1-3/R6,,0,,7,5309,13933,3030640002,3600,S2,36,25,3064,3,2,E,2.62,3003,301,1800,0,0,34,493,0,,0,0,,4.8,0,E237,0,800,,N,,04,2,1375,55,25,5,,1,3,0,900,C1-3,,PAK PING NG,,1,90,2,1800,2.43,900,309 029,14,,,N,0,31004,0493,2,3,15v1,1001008,197006,0,0,1930,11206,,R6,,,,13b
0106000020E61000000100000001030000000100000005000000984000F0217C52C0A041404D095C444092A2DE6A237C52C093C4A7B80F5C4440D5289BC41D7C52C08662A69D125C44407E07BC4B1C7C52C0651AE73A0C5C4440984000F0217C52C0A041404D095C4440,83 DEBEVOISE AVENUE,M1-1,,0,,7,118800,249750,3028580023,7550,F4,60,20.5,2858,3,0,,1,3014,301,7550,1,0,34,449,0,,0,0,,2.4,7550,L146,0,900,,N,,06,23,7550,100,75.5,3,,5,1,0,0,,,300 RICHARDSON REALTY,P,1,94,0,0,0,0,309 064,14,,,N,0,31001,0449,0,3,15v1,1001036,201297,0,0,1920,11222,,M1-1,,,,13a
0106000020E61000000100000001030000000100000007000000A6206E2F1E7C52C022C2024D895A4440E955640F237C52C07209D458885A4440ECB6EF40237C52C0613B15BA8A5A4440224804F21F7C52C026E3CA578B5A4440AF75D8FC1F7C52C0EB49F8DC8B5A44400776276C1E7C52C03737452A8C5A4440A6206E2F1E7C52C022C2024D895A4440,251 BUSHWICK AVENUE,C1-3/R6,,0,,7,1780,130304,3030640001,5800,S5,58,25,3064,3,5,,2.69,3003,301,1450,0,0,34,493,0,,0,0,,4.8,0,E237,0,800,,Y,,04,1,2154,80,25,5,,2,4,0,0,C1-3,,GREENBUSH 251 LLC,P,1,90,0,4350,2.43,1450,309 029,14,,,N,0,31004,0493,6,7,15v1,1001026,196985,0,0,1920,11206,,R6,,,,13b
0106000020E61000000100000001030000000100000006000000A6E44F2E1D7C52C076E1776A5F5C4440D3B3C3F21F7C52C0CAD2C0FC5D5C444016F83853217C52C0B836CF465D5C4440C5912D40237C52C063895F0D665C4440820D231B1F7C52C0EDB77730685C4440A6E44F2E1D7C52C076E1776A5F5C4440,40 LOMBARDY STREET,M1-1,,3028340023,03/17/2006,7,81450,81450,3028340022,0,G7,0,0,2834,3,5,,0,3002,301,0,1,0,34,449,0,,0,0,,2.4,0,L146,0,900,,N,,10,22,7400,100,74,5,,1,0,0,0,,,"MORGAN NY GROUPS, LLC",,1,94,0,0,0,0,309 064,14,,,N,0,31001,0449,0,0,15v1,1001029,202240,0,0,0,11222,,M1-1,,,,13a
0106000020E6100000010000000103000000010000000500000092CAE2F3207C52C0BFE23852985A444070702F6B227C52C0C893030B985A44406FBBE036237C52C0509EC7B6A15A4440F3E392BF217C52C0712FFEFDA15A444092CAE2F3207C52C0BFE23852985A4440,233 MONTROSE AVENUE,C1-3/R6,,0,,7,9494,579150,3030550022,8663,C1,70,25,3055,3,5,,3.47,3000,301,0,0,0,34,493,0,,0,567675,,4.8,0,E237,0,800,,N,,02,22,2500,100,25,5,,1,4,0,0,C1-3,,233-235 MONTROSE REAL,P,1,90,0,8663,2.43,0,309 029,14,,,N,0,31004,0493,8,8,15v1,1001001,197195,0,0,2003,11206,,R6,,,,13b
0106000020E610000001000000010300000001000000060000000E0D9699207C52C09EB92864D15A444084CF95AD217C52C09BFA3B2FD15A44407B4C2E68227C52C009D1740BD15A4440BA100B2D237C52C0136AD724DA5A4440812FF359217C52C0E403697EDA5A44400E0D9699207C52C09EB92864D15A4440,240 STAGG STREET,C1-3/R6,,3030370013,02/28/1997,7,9588,37119,3030370112,2000,B2,50,20,3037,3,2,,0.65,1013,301,0,0,0,34,485,0,,1610,7116,,4.8,0,L108,0,900,,N,,01,112,3066,100,30.8,5,,1,2,0,0,C1-3,,"ARAUJO, MIGUEL ANGEL",,1,90,2,2000,2.43,0,309 025,14,,,N,0,31004,0485,2,2,15v1,1001004,197826,0,0,1996,11206,,R6,,,,13b
0106000020E610000001000000010300000001000000070000003ECAF1F71D7C52C0FBBC59A3865A444027B715AB1F7C52C01C6D664F865A444097711C3E217C52C09F48A501865A44404ADE3AD8227C52C039F89CB2855A4440E955640F237C52C07209D458885A4440A6206E2F1E7C52C022C2024D895A44403ECAF1F71D7C52C0FBBC59A3865A4440,253 BUSHWICK AVENUE,C1-3/R6,,0,,7,977,53094,3030640027,6600,C4,55,30,3064,3,5,,2.75,3003,301,1000,0,0,34,493,0,,0,0,,4.8,0,E237,0,800,,N,,02,27,2400,80,30,5,,1,4,0,0,C1-3,,253 BUSHWICK AVENUE L,,1,90,0,5600,2.43,1000,309 029,14,,,N,0,31004,0493,6,8,15v1,1001027,196956,0,0,1920,11206,,R6,,,,13b
0106000020E61000000100000001030000000100000005000000898A46B7207C52C0FD6EA9877F5A444017356651227C52C07189A3387F5A44404ADE3AD8227C52C039F89CB2855A444097711C3E217C52C09F48A501865A4440898A46B7207C52C0FD6EA9877F5A4440,245 JOHNSON AVENUE,C1-3/R6,,0,,7,15167,24755,3030640026,3000,S9,40,25,3064,3,5,,1.71,3003,301,1000,0,0,34,493,0,,0,0,E,4.8,0,E237,0,800,,N,,04,26,1750,70,25,3,,1,3,0,0,C1-3,,AM & ZHENG LLC,,1,90,0,2000,2.43,1000,309 029,14,,,N,0,31004,0493,2,4,15v1,1001006,196901,0,0,1920,11206,,R6,,,,13b
0106000020E61000000100000001030000000100000006000000362030F1207C52C07F70FE44C85A444053D9BD21227C52C044C0E90BC85A4440E4E208DE227C52C0BAF0DBF4D05A44407B4C2E68227C52C009D1740BD15A444084CF95AD217C52C09BFA3B2FD15A4440362030F1207C52C07F70FE44C85A4440,229 SCHOLES STREET,C1-3/R6,,3030370001,02/28/1997,7,8998,33085,3030370167,1910,B2,50,19.1,3037,3,2,,0.96,1013,301,0,0,0,34,485,0,,1610,6427,,4.8,0,L108,0,900,,N,,01,167,1983,100,19.1,5,,1,2,0,0,C1-3,,"SEALY, RAFAEL",,1,90,3,1910,2.43,0,309 000,14,,,N,0,31004,0485,2,2,15v1,1001003,197724,0,0,1996,11206,,R6,,,,13b
